subject	models	generation	group	preCompDelta	preCompBias	preWarmDelta	preWarmBias	postCompDelta	postCompBias	postWarmDelta	postWarmBias	agree	agreeTotal	agreeBias	agreeMax	obs	obsTotal	obsBias	hamming
69	2	3	IG	1	IG	0.5	IG	0	Unbiased	0.5	IG	19	26	IG	23	26	40	IG	24
69	2	3	OG	1	IG	0.5	IG	0	Unbiased	0.5	IG	7	26	IG	14	14	40	IG	31
70	2	3	IG	-0.5	OG	0	Unbiased	1	IG	0	Unbiased	9	25	OG	11	15	40	OG	27
70	2	3	OG	-0.5	OG	0	Unbiased	1	IG	0	Unbiased	16	25	OG	20	25	40	OG	30
71	2	3	IG	1	IG	0.5	IG	0	Unbiased	0	Unbiased	23	25	IG	31	34	40	IG	22
71	2	3	OG	1	IG	0.5	IG	0	Unbiased	0	Unbiased	2	25	IG	6	6	40	IG	31
72	2	4	IG	0.5	IG	0	Unbiased	0	Unbiased	0	Unbiased	24	24	IG	30	40	40	IG	27
72	2	4	OG	0.5	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	24	IG	0	0	40	IG	34
73	2	4	IG	1	IG	1	IG	1	IG	1	IG	21	31	IG	24	26	40	IG	21
73	2	4	OG	1	IG	1	IG	1	IG	1	IG	10	31	IG	12	14	40	IG	34
74	2	4	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	6	18	OG	20	20	40	Unbiased	37
74	2	4	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	12	18	OG	20	20	40	Unbiased	28
75	2	4	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	12	23	IG	19	20	40	Unbiased	27
75	2	4	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	11	23	IG	20	20	40	Unbiased	30
76	2	4	IG	0	Unbiased	0	Unbiased	-0.5	OG	0	Unbiased	14	15	IG	26	34	40	IG	34
76	2	4	OG	0	Unbiased	0	Unbiased	-0.5	OG	0	Unbiased	1	15	IG	5	6	40	IG	29
77	2	4	IG	1.5	IG	1.5	IG	2	IG	1	IG	8	19	OG	19	19	40	OG	32
77	2	4	OG	1.5	IG	1.5	IG	2	IG	1	IG	11	19	OG	21	21	40	OG	33
78	2	5	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	1	18	OG	1	2	40	OG	28
78	2	5	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	17	18	OG	29	38	40	OG	33
79	2	5	IG	0	Unbiased	1	IG	0	Unbiased	0	Unbiased	13	25	IG	20	20	40	Unbiased	31
79	2	5	OG	0	Unbiased	1	IG	0	Unbiased	0	Unbiased	12	25	IG	20	20	40	Unbiased	26
80	2	5	IG	3	IG	3	IG	3	IG	3	IG	23	31	IG	23	27	40	IG	24
80	2	5	OG	3	IG	3	IG	3	IG	3	IG	8	31	IG	11	13	40	IG	31
81	2	5	IG	0	Unbiased	0	Unbiased	1	IG	1	IG	12	20	IG	16	19	40	OG	33
81	2	5	OG	0	Unbiased	0	Unbiased	1	IG	1	IG	8	20	IG	16	21	40	OG	32
82	2	5	IG	2	IG	1.5	IG	2	IG	2	IG	16	22	IG	18	27	40	IG	27
82	2	5	OG	2	IG	1.5	IG	2	IG	2	IG	6	22	IG	10	13	40	IG	30
83	2	5	IG	0	Unbiased	0	Unbiased	2	IG	0	Unbiased	23	23	IG	29	40	40	IG	27
83	2	5	OG	0	Unbiased	0	Unbiased	2	IG	0	Unbiased	0	23	IG	0	0	40	IG	32
84	2	6	IG	4	IG	1	IG	4	IG	1	IG	22	27	IG	26	30	40	IG	19
84	2	6	OG	4	IG	1	IG	4	IG	1	IG	5	27	IG	8	10	40	IG	32
85	2	6	IG	1	IG	2	IG	0	Unbiased	0	Unbiased	11	23	OG	19	20	40	Unbiased	28
85	2	6	OG	1	IG	2	IG	0	Unbiased	0	Unbiased	12	23	OG	20	20	40	Unbiased	25
86	2	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	18	21	IG	22	33	40	IG	26
86	2	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	3	21	IG	5	7	40	IG	27
87	2	6	IG	0	Unbiased	1	IG	0	Unbiased	0	Unbiased	9	18	Unbiased	23	24	40	IG	38
87	2	6	OG	0	Unbiased	1	IG	0	Unbiased	0	Unbiased	9	18	Unbiased	16	16	40	IG	29
88	2	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	23	28	IG	26	32	40	IG	23
88	2	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	5	28	IG	6	8	40	IG	28
89	2	6	IG	1.5	IG	1	IG	1	IG	0.5	IG	9	20	OG	19	20	40	Unbiased	30
89	2	6	OG	1.5	IG	1	IG	1	IG	0.5	IG	11	20	OG	20	20	40	Unbiased	25
90	2	7	IG	1.5	IG	0.5	IG	0.5	IG	0.5	IG	11	18	IG	15	19	40	OG	31
90	2	7	OG	1.5	IG	0.5	IG	0.5	IG	0.5	IG	7	18	IG	18	21	40	OG	30
91	2	7	IG	1.5	IG	1	IG	1	IG	-0.5	OG	12	21	IG	20	20	40	Unbiased	26
91	2	7	OG	1.5	IG	1	IG	1	IG	-0.5	OG	9	21	IG	20	20	40	Unbiased	31
92	2	7	IG	0	Unbiased	-0.5	OG	0	Unbiased	-0.5	OG	12	22	IG	22	27	40	IG	32
92	2	7	OG	0	Unbiased	-0.5	OG	0	Unbiased	-0.5	OG	10	22	IG	12	13	40	IG	25
93	2	7	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	16	26	IG	20	22	40	IG	27
93	2	7	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	10	26	IG	18	18	40	IG	30
94	2	7	IG	0.5	IG	-1	OG	-1	OG	-0.5	OG	15	24	IG	20	20	40	Unbiased	30
94	2	7	OG	0.5	IG	-1	OG	-1	OG	-0.5	OG	9	24	IG	20	20	40	Unbiased	35
95	2	7	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	4	18	OG	10	11	40	OG	29
95	2	7	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	14	18	OG	24	29	40	OG	36
96	2	8	IG	1	IG	1	IG	0	Unbiased	0.5	IG	17	25	IG	21	22	40	IG	19
96	2	8	OG	1	IG	1	IG	0	Unbiased	0.5	IG	8	25	IG	18	18	40	IG	23
97	2	8	IG	1	IG	1.5	IG	1	IG	1.5	IG	13	22	IG	21	22	40	IG	30
97	2	8	OG	1	IG	1.5	IG	1	IG	1.5	IG	9	22	IG	17	18	40	IG	30
98	2	8	IG	0	Unbiased	0	Unbiased	0	Unbiased	0.5	IG	7	20	OG	12	12	40	OG	22
98	2	8	OG	0	Unbiased	0	Unbiased	0	Unbiased	0.5	IG	13	20	OG	24	28	40	OG	26
99	2	8	IG	-1	OG	0.5	IG	-1	OG	0.5	IG	8	20	OG	20	20	40	Unbiased	27
99	2	8	OG	-1	OG	0.5	IG	-1	OG	0.5	IG	12	20	OG	20	20	40	Unbiased	31
100	2	8	IG	-1	OG	-1	OG	0	Unbiased	0	Unbiased	18	34	IG	19	24	40	IG	21
100	2	8	OG	-1	OG	-1	OG	0	Unbiased	0	Unbiased	16	34	IG	16	16	40	IG	21
101	2	8	IG	1	IG	0	Unbiased	2	IG	2	IG	26	28	IG	27	36	40	IG	22
101	2	8	OG	1	IG	0	Unbiased	2	IG	2	IG	2	28	IG	4	4	40	IG	24
102	2	9	IG	0.5	IG	1	IG	0	Unbiased	1	IG	15	27	IG	22	23	40	IG	23
102	2	9	OG	0.5	IG	1	IG	0	Unbiased	1	IG	12	27	IG	16	17	40	IG	20
103	2	9	IG	0.5	IG	2.5	IG	0.5	IG	1.5	IG	11	24	OG	21	22	40	IG	27
103	2	9	OG	0.5	IG	2.5	IG	0.5	IG	1.5	IG	13	24	OG	18	18	40	IG	28
104	2	9	IG	0.5	IG	0.5	IG	0.5	IG	1.5	IG	16	22	IG	22	30	40	IG	22
104	2	9	OG	0.5	IG	0.5	IG	0.5	IG	1.5	IG	6	22	IG	6	10	40	IG	21
105	2	9	IG	0.5	IG	-1	OG	0.5	IG	-0.5	OG	15	23	IG	21	22	40	IG	20
105	2	9	OG	0.5	IG	-1	OG	0.5	IG	-0.5	OG	8	23	IG	18	18	40	IG	23
106	2	9	IG	1	IG	1	IG	0	Unbiased	0	Unbiased	17	23	IG	29	32	40	IG	26
106	2	9	OG	1	IG	1	IG	0	Unbiased	0	Unbiased	6	23	IG	8	8	40	IG	25
107	2	9	IG	0	Unbiased	0	Unbiased	-1	OG	0	Unbiased	4	10	OG	20	20	40	Unbiased	38
107	2	9	OG	0	Unbiased	0	Unbiased	-1	OG	0	Unbiased	6	10	OG	20	20	40	Unbiased	41
108	3	1	IG	-1	OG	-1	OG	1	IG	0	Unbiased	15	43	OG	21	22	60	OG	26
108	3	1	OG	-1	OG	-1	OG	1	IG	0	Unbiased	28	43	OG	29	38	60	OG	19
109	3	1	IG	2.5	IG	2.5	IG	1	IG	0.5	IG	27	33	IG	39	52	60	IG	28
109	3	1	OG	2.5	IG	2.5	IG	1	IG	0.5	IG	6	33	IG	7	8	60	IG	29
110	3	1	IG	0.5	IG	-0.5	OG	0	Unbiased	0	Unbiased	40	40	IG	44	59	60	IG	19
110	3	1	OG	0.5	IG	-0.5	OG	0	Unbiased	0	Unbiased	0	40	IG	1	1	60	IG	32
111	3	1	IG	1	IG	1	IG	0.5	IG	-0.5	OG	17	28	IG	26	31	60	IG	26
111	3	1	OG	1	IG	1	IG	0.5	IG	-0.5	OG	11	28	IG	23	29	60	IG	37
112	3	1	IG	-1	OG	0	Unbiased	1	IG	0.5	IG	12	26	OG	25	28	60	OG	33
112	3	1	OG	-1	OG	0	Unbiased	1	IG	0.5	IG	14	26	OG	27	32	60	OG	30
113	3	1	IG	0	Unbiased	0	Unbiased	0	Unbiased	0.5	IG	30	34	IG	40	50	60	IG	23
113	3	1	OG	0	Unbiased	0	Unbiased	0	Unbiased	0.5	IG	4	34	IG	7	10	60	IG	34
114	3	2	IG	0.5	IG	0.5	IG	-0.5	OG	0	Unbiased	20	36	IG	26	31	60	IG	21
114	3	2	OG	0.5	IG	0.5	IG	-0.5	OG	0	Unbiased	16	36	IG	21	29	60	IG	27
115	3	2	IG	1.5	IG	-1	OG	0	Unbiased	1	IG	16	33	OG	24	27	60	OG	20
115	3	2	OG	1.5	IG	-1	OG	0	Unbiased	1	IG	17	33	OG	27	33	60	OG	30
116	3	2	IG	-1	OG	0	Unbiased	-0.5	OG	0	Unbiased	21	36	IG	29	39	60	IG	28
116	3	2	OG	-1	OG	0	Unbiased	-0.5	OG	0	Unbiased	15	36	IG	19	21	60	IG	22
117	3	2	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	25	26	IG	42	57	60	IG	32
117	3	2	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	1	26	IG	3	3	60	IG	34
118	3	2	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	12	39	OG	20	22	60	OG	31
118	3	2	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	27	39	OG	32	38	60	OG	19
119	3	2	IG	2	IG	1.5	IG	-1.5	OG	-0.5	OG	18	32	IG	26	32	60	IG	32
119	3	2	OG	2	IG	1.5	IG	-1.5	OG	-0.5	OG	14	32	IG	22	28	60	IG	34
120	3	3	IG	0.5	IG	0.5	IG	1	IG	1	IG	20	43	OG	26	28	60	OG	25
120	3	3	OG	0.5	IG	0.5	IG	1	IG	1	IG	23	43	OG	27	32	60	OG	21
121	3	3	IG	-0.5	OG	1	IG	-0.5	OG	0	Unbiased	22	37	IG	27	32	60	IG	25
121	3	3	OG	-0.5	OG	1	IG	-0.5	OG	0	Unbiased	15	37	IG	25	28	60	IG	35
122	3	3	IG	3.5	IG	3	IG	0	Unbiased	0.5	IG	31	48	IG	32	38	60	IG	20
122	3	3	OG	3.5	IG	3	IG	0	Unbiased	0.5	IG	17	48	IG	18	22	60	IG	24
