subject	time	group	competent	capable	warm	friendly
210	pre	IG	4	4	3	4
210	pre	OG	3	4	3	4
210	post	IG	4	3	3	4
210	post	OG	4	4	3	4
211	pre	IG	4	5	5	4
211	pre	OG	5	4	5	4
211	post	IG	4	3	4	4
211	post	OG	4	4	3	5
212	pre	IG	5	4	4	5
212	pre	OG	5	4	4	5
212	post	IG	5	4	4	5
212	post	OG	5	4	4	5
213	pre	IG	3	4	4	4
213	pre	OG	4	4	4	3
213	post	IG	4	5	5	5
213	post	OG	3	3	3	4
214	pre	IG	4	3	3	3
214	pre	OG	4	3	3	3
214	post	IG	3	2	2	2
214	post	OG	3	2	2	2
215	pre	IG	3	3	3	3
215	pre	OG	3	3	3	3
215	post	IG	3	3	3	3
215	post	OG	3	3	3	3
